Apostasy,a,State,Oscilate,CB,SB,CN,SN,R
0.0,0.0,1,0,0,0,0,1,0.20000462281532747
0.0,0.01,1,0,0,0,0,1,0.20000501108504795
0.0,0.02,1,0,0,0,0,1,0.20000606383952405
0.0,0.03,1,0,0,0,0,1,0.20000540393789196
0.0,0.04,1,0,0,0,0,1,0.2000051627757879
0.0,0.05,1,0,0,0,0,1,0.20000625479012205
0.0,0.06,1,0,0,0,0,1,0.20000580146258082
0.0,0.07,1,0,0,0,0,1,0.20000355403567133
0.0,0.08,1,0,0,0,0,1,0.2000030816424088
0.0,0.09,1,0,0,0,0,1,0.20000434376024168
0.0,0.1,1,0,0,0,0,1,0.20000404220170787
0.0,0.11,1,0,0,0,0,1,0.20000639184139968
0.0,0.12,1,0,0,0,0,1,0.20000652387758036
0.0,0.13,1,0,0,0,0,1,0.2000052680520221
0.0,0.14,1,0,0,0,0,1,0.20000485600893309
0.0,0.15,1,0,0,0,0,1,0.20000526285564238
0.0,0.16,1,0,0,0,0,1,0.20000454311840848
0.0,0.17,1,0,0,0,0,1,0.20000765683603744
0.0,0.18,1,0,0,0,0,1,0.20000562240345324
0.0,0.19,1,0,0,0,0,1,0.20000399943158345
0.0,0.2,1,0,0,0,0,1,0.20000353638108473
0.0,0.21,1,0,0,0,0,1,0.20000433683643024
0.0,0.22,1,0,0,0,0,1,0.20000523357991587
0.0,0.23,1,0,0,0,0,1,0.2000061475798052
0.0,0.24,1,0,0,0,0,1,0.2000058048022041
0.0,0.25,1,0,0,0,0,1,0.20000343770716264
0.0,0.26,1,0,0,0,0,1,0.20000440403263656
0.0,0.27,1,0,0,0,0,1,0.20000683455713478
0.0,0.28,1,0,0,0,0,1,0.2000039668423937
0.0,0.29,1,0,0,0,0,1,0.2000045856859761
0.0,0.3,1,0,0,0,0,1,0.2000055352229312
0.0,0.31,1,0,0,0,0,1,0.20000497428224234
0.0,0.32,1,0,0,0,0,1,0.19999532549494403
0.0,0.33,1,0,0,0,0,1,0.19999621179576124
0.0,0.34,1,0,0,0,0,1,0.19999544113223716
0.0,0.35000000000000003,1,0,0,0,0,1,0.19999509382314384
0.0,0.36,1,0,0,0,0,1,0.19999738534484815
0.0,0.37,1,0,0,0,0,1,0.19999581995281587
0.0,0.38,1,0,0,0,0,1,0.19999600564047282
0.0,0.39,1,0,0,0,0,1,0.19999600523144362
0.0,0.4,1,0,0,0,0,1,0.19999504004086963
0.0,0.41000000000000003,1,0,0,0,0,1,0.19999390955137314
0.0,0.42,1,0,0,0,0,1,0.1999949899611584
0.0,0.43,1,0,0,0,0,1,0.19999505008659849
0.0,0.44,1,0,0,0,0,1,0.19999539783645984
0.0,0.45,1,0,0,0,0,1,0.19999365325660443
0.0,0.46,1,0,0,0,0,1,0.19999436235991674
0.0,0.47000000000000003,1,0,0,0,0,1,0.19999535354244838
0.0,0.48,1,0,0,0,0,1,0.19999512205498968
0.0,0.49,1,0,0,0,0,1,0.19999409594089312
0.0,0.5,1,0,0,0,0,1,0.19999523622834492
0.0,0.51,1,0,0,0,0,1,0.19999533938736677
0.0,0.52,1,0,0,0,0,1,0.1999951570323142
0.0,0.53,1,0,0,0,0,1,0.19999487548754738
0.0,0.54,1,0,0,0,0,1,0.19999536877135812
0.0,0.55,1,0,0,0,0,1,0.19999482680923628
0.0,0.56,1,0,0,0,0,1,0.19999407622400878
0.0,0.5700000000000001,1,0,0,0,0,1,0.1999958396388665
0.0,0.58,1,0,0,0,0,1,0.19999582920695225
0.0,0.59,1,0,0,0,0,1,0.1999949285908227
0.0,0.6,1,0,0,0,0,1,0.19999604924674386
0.0,0.61,1,0,0,0,0,1,0.1999937082779352
0.0,0.62,1,0,0,0,0,1,0.19999665544874531
0.0,0.63,1,0,0,0,0,1,0.19999532781479143
0.0,0.64,1,0,0,0,0,1,0.19999537059447278
0.0,0.65,1,0,0,0,0,1,0.19999512620605445
0.0,0.66,1,0,0,0,0,1,0.20000432506728422
0.0,0.67,1,0,0,0,0,1,0.2000043394306454
0.0,0.68,1,0,0,0,0,1,0.20000454192022993
0.0,0.6900000000000001,1,0,0,0,0,1,0.20000471862540398
0.0,0.7000000000000001,1,0,0,0,0,1,0.19999551879642663
0.0,0.71,1,0,0,0,0,1,0.1999959352773719
0.0,0.72,8,0,1,0,0,0,0.2799923528048881
0.0,0.73,8,0,1,0,0,0,0.2699947256454226
0.0,0.74,8,0,1,0,0,0,0.25999543124835217
0.0,0.75,8,0,1,0,0,0,0.24999477659335498
0.0,0.76,8,0,1,0,0,0,0.23999529644097456
0.0,0.77,8,0,1,0,0,0,0.22999613238666444
0.0,0.78,8,0,1,0,0,0,0.21999525133297115
0.0,0.79,8,0,1,0,0,0,0.2099950205248148
0.001,0.0,1,0,0,0,0,1,0.20000473340531197
0.001,0.01,1,0,0,0,0,1,0.20000527595655784
0.001,0.02,1,0,0,0,0,1,0.2000053979386905
0.001,0.03,1,0,0,0,0,1,0.2000048909785737
0.001,0.04,1,0,0,0,0,1,0.20000362938569774
0.001,0.05,1,0,0,0,0,1,0.20000625202725997
0.001,0.06,1,0,0,0,0,1,0.2000051577712974
0.001,0.07,1,0,0,0,0,1,0.20000413485408564
0.001,0.08,1,0,0,0,0,1,0.20000496772002202
0.001,0.09,1,0,0,0,0,1,0.20000538823125877
0.001,0.1,1,0,0,0,0,1,0.20000595203279653
0.001,0.11,1,0,0,0,0,1,0.20000733980322208
0.001,0.12,1,0,0,0,0,1,0.20000456113490983
0.001,0.13,1,0,0,0,0,1,0.20000612325689865
0.001,0.14,1,0,0,0,0,1,0.20000403794242383
0.001,0.15,1,0,0,0,0,1,0.2000045824665416
0.001,0.16,1,0,0,0,0,1,0.20000446294490978
0.001,0.17,1,0,0,0,0,1,0.2000060736709064
0.001,0.18,1,0,0,0,0,1,0.20000451448823348
0.001,0.19,1,0,0,0,0,1,0.2000052883410696
0.001,0.2,1,0,0,0,0,1,0.20000436737819158
0.001,0.21,1,0,0,0,0,1,0.20000433400052647
0.001,0.22,1,0,0,0,0,1,0.20000509019073132
0.001,0.23,1,0,0,0,0,1,0.20000579185400633
0.001,0.24,1,0,0,0,0,1,0.20000543505987214
0.001,0.25,1,0,0,0,0,1,0.20000315389090315
0.001,0.26,1,0,0,0,0,1,0.20000410689316267
0.001,0.27,1,0,0,0,0,1,0.2000056197874576
0.001,0.28,1,0,0,0,0,1,0.20000537357487883
0.001,0.29,1,0,0,0,0,1,0.20000736119704549
0.001,0.3,1,0,0,0,0,1,0.20000448018376987
0.001,0.31,1,0,0,0,0,1,0.2000054557500315
0.001,0.32,1,0,0,0,0,1,0.19999596423611848
0.001,0.33,1,0,0,0,0,1,0.19999514634919358
0.001,0.34,1,0,0,0,0,1,0.19999624207975444
0.001,0.35000000000000003,1,0,0,0,0,1,0.19999461758648912
0.001,0.36,1,0,0,0,0,1,0.19999420610340177
0.001,0.37,1,0,0,0,0,1,0.19999566959872894
0.001,0.38,1,0,0,0,0,1,0.19999597410316106
0.001,0.39,1,0,0,0,0,1,0.19999570519545237
0.001,0.4,1,0,0,0,0,1,0.1999943889773037
0.001,0.41000000000000003,1,0,0,0,0,1,0.19999598267868018
0.001,0.42,1,0,0,0,0,1,0.19999614564337118
0.001,0.43,1,0,0,0,0,1,0.199995505047786
0.001,0.44,1,0,0,0,0,1,0.19999565763596455
0.001,0.45,1,0,0,0,0,1,0.19999610431400916
0.001,0.46,1,0,0,0,0,1,0.19999705986686175
0.001,0.47000000000000003,1,0,0,0,0,1,0.19999313005342123
0.001,0.48,1,0,0,0,0,1,0.19999494492108882
0.001,0.49,1,0,0,0,0,1,0.19999565625173332
0.001,0.5,1,0,0,0,0,1,0.1999963450935139
0.001,0.51,1,0,0,0,0,1,0.199995298546196
0.001,0.52,1,0,0,0,0,1,0.19999573104636664
0.001,0.53,1,0,0,0,0,1,0.19999616061347153
0.001,0.54,1,0,0,0,0,1,0.19999520864501075
0.001,0.55,1,0,0,0,0,1,0.19999568563781991
0.001,0.56,1,0,0,0,0,1,0.19999499569595
0.001,0.5700000000000001,1,0,0,0,0,1,0.199995874904169
0.001,0.58,1,0,0,0,0,1,0.19999330312284638
0.001,0.59,1,0,0,0,0,1,0.19999505493605813
0.001,0.6,1,0,0,0,0,1,0.1999956179492758
0.001,0.61,1,0,0,0,0,1,0.19999590832300304
0.001,0.62,1,0,0,0,0,1,0.19999611613271112
0.001,0.63,1,0,0,0,0,1,0.19999643869194136
0.001,0.64,1,0,0,0,0,1,0.1999955516715807
0.001,0.65,1,0,0,0,0,1,0.20000554297593354
0.001,0.66,1,0,0,0,0,1,0.20000639714037383
0.001,0.67,1,0,0,0,0,1,0.20000692827909966
0.001,0.68,1,0,0,0,0,1,0.20000482245668527
0.001,0.6900000000000001,1,0,0,0,0,1,0.20000569112257
0.001,0.7000000000000001,1,0,0,0,0,1,0.20000605317407968
0.001,0.71,1,0,0,0,0,1,0.2000048031563449
0.001,0.72,8,0,1,0,0,0,0.27999417045507163
0.001,0.73,8,0,1,0,0,0,0.2699943239130317
0.001,0.74,8,0,1,0,0,0,0.25999384758881294
0.001,0.75,8,0,1,0,0,0,0.24999257925439075
0.001,0.76,8,0,1,0,0,0,0.2399949024814524
0.001,0.77,8,0,1,0,0,0,0.2299950453515248
0.001,0.78,8,0,1,0,0,0,0.21999530619818744
0.001,0.79,8,0,1,0,0,0,0.20999542731158857
0.002,0.0,1,0,0,0,0,1,0.20000483411349054
0.002,0.01,1,0,0,0,0,1,0.20000525414638387
0.002,0.02,1,0,0,0,0,1,0.20000461019685187
0.002,0.03,1,0,0,0,0,1,0.2000047644860015
0.002,0.04,1,0,0,0,0,1,0.20000537527067813
0.002,0.05,1,0,0,0,0,1,0.2000061737866275
0.002,0.06,1,0,0,0,0,1,0.20000638740320584
0.002,0.07,1,0,0,0,0,1,0.20000573957603068
0.002,0.08,1,0,0,0,0,1,0.2000060080806779
0.002,0.09,1,0,0,0,0,1,0.20000446415348938
0.002,0.1,1,0,0,0,0,1,0.20000431970169835
0.002,0.11,1,0,0,0,0,1,0.20000733406421128
0.002,0.12,1,0,0,0,0,1,0.20000446083784493
0.002,0.13,1,0,0,0,0,1,0.20000455536876785
0.002,0.14,1,0,0,0,0,1,0.20000524551641882
0.002,0.15,1,0,0,0,0,1,0.2000046625462916
0.002,0.16,1,0,0,0,0,1,0.20000455941400125
0.002,0.17,1,0,0,0,0,1,0.20000658639718455
0.002,0.18,1,0,0,0,0,1,0.20000771545522064
0.002,0.19,1,0,0,0,0,1,0.20000489845596528
0.002,0.2,1,0,0,0,0,1,0.20000522163668324
0.002,0.21,1,0,0,0,0,1,0.20000450175282777
0.002,0.22,1,0,0,0,0,1,0.20000498637068617
0.002,0.23,1,0,0,0,0,1,0.2000052657955697
0.002,0.24,1,0,0,0,0,1,0.20000603149334495
0.002,0.25,1,0,0,0,0,1,0.20000563855406764
0.002,0.26,1,0,0,0,0,1,0.20000334584976717
0.002,0.27,1,0,0,0,0,1,0.20000784982483952
0.002,0.28,1,0,0,0,0,1,0.200005173325527
0.002,0.29,1,0,0,0,0,1,0.20000336878953093
0.002,0.3,1,0,0,0,0,1,0.2000077334650446
0.002,0.31,1,0,0,0,0,1,0.2000076310338078
0.002,0.32,1,0,0,0,0,1,0.1999959401340794
0.002,0.33,1,0,0,0,0,1,0.19999487369913305
0.002,0.34,1,0,0,0,0,1,0.1999931308091194
0.002,0.35000000000000003,1,0,0,0,0,1,0.19999452972573625
0.002,0.36,1,0,0,0,0,1,0.19999426108842625
0.002,0.37,1,0,0,0,0,1,0.19999721837372683
0.002,0.38,1,0,0,0,0,1,0.1999959153650804
0.002,0.39,1,0,0,0,0,1,0.1999956301338883
0.002,0.4,1,0,0,0,0,1,0.1999948632875261
0.002,0.41000000000000003,1,0,0,0,0,1,0.1999960152529883
0.002,0.42,1,0,0,0,0,1,0.19999684271856935
0.002,0.43,1,0,0,0,0,1,0.19999578739560533
0.002,0.44,1,0,0,0,0,1,0.19999535750861275
0.002,0.45,1,0,0,0,0,1,0.1999959939393978
0.002,0.46,1,0,0,0,0,1,0.19999676557342572
0.002,0.47000000000000003,1,0,0,0,0,1,0.19999493391637452
0.002,0.48,1,0,0,0,0,1,0.19999536026432624
0.002,0.49,1,0,0,0,0,1,0.19999424366143553
0.002,0.5,1,0,0,0,0,1,0.1999951167164622
0.002,0.51,1,0,0,0,0,1,0.19999572856433273
0.002,0.52,1,0,0,0,0,1,0.1999954556655583
