Apostasy,a,State,Oscilate,CB,SB,CN,SN,R
0.0,0.0,13,0,1,1,0,1,0.3709099456804245
0.0,0.01,13,0,1,1,0,1,0.3718791952934276
0.0,0.02,13,0,1,1,0,1,0.3729154122045204
0.0,0.03,13,0,1,1,0,1,0.3740256166833007
0.0,0.04,13,0,1,1,0,1,0.375212537132488
0.0,0.05,13,0,1,1,0,1,0.37647703047851366
0.0,0.06,13,0,1,1,0,1,0.37782602522379777
0.0,0.07,13,0,1,1,0,1,0.379260575381702
0.0,0.08,13,0,1,1,0,1,0.38078775731073466
0.0,0.09,13,0,1,1,0,1,0.38241058556769114
0.0,0.1,13,0,1,1,0,1,0.38413490157957075
0.0,0.11,13,0,1,1,0,1,0.3859658439561036
0.0,0.12,13,0,1,1,0,1,0.3879118439333689
0.0,0.13,13,0,1,1,0,1,0.3899745317857976
0.0,0.14,13,0,1,1,0,1,0.39216628007506177
0.0,0.15,13,0,1,1,0,1,0.39449040764703763
0.0,0.16,13,0,1,1,0,1,0.3969562704340037
0.0,0.17,13,0,1,1,0,1,0.3995720200537817
0.0,0.18,13,0,1,1,0,1,0.40234969744443627
0.0,0.19,13,0,1,1,0,1,0.40529568417579803
0.0,0.2,13,0,1,1,0,1,0.4084243575027042
0.0,0.21,13,0,1,1,0,1,0.41174572616916355
0.0,0.22,13,0,1,1,0,1,0.4152740526338869
0.0,0.23,13,0,1,1,0,1,0.4190248498556266
0.0,0.24,13,0,1,1,0,1,0.42300656854470525
0.0,0.25,13,0,1,1,0,1,0.42724105781191
0.0,0.26,13,0,1,1,0,1,0.43174451958872606
0.0,0.27,13,0,1,1,0,1,0.43653525409333954
0.0,0.28,13,0,1,1,0,1,0.44163567449068314
0.0,0.29,13,0,1,1,0,1,0.44706697738814993
0.0,0.3,13,0,1,1,0,1,0.45285271584822356
0.0,0.31,13,0,1,1,0,1,0.4590083816786298
0.0,0.32,13,0,1,1,0,1,0.4655876141526622
0.0,0.33,13,0,1,1,0,1,0.4726070546922068
0.0,0.34,13,0,1,1,0,1,0.4801048338450425
0.0,0.35000000000000003,13,0,1,1,0,1,0.488116318077243
0.0,0.36,13,0,1,1,0,1,0.49667990873966184
0.0,0.37,13,0,1,1,0,1,0.5058432366726802
0.0,0.38,13,0,1,1,0,1,0.5156524320287054
0.0,0.39,13,0,1,1,0,1,0.5261771228741133
0.0,0.4,13,0,1,1,0,1,0.5374468777765181
0.0,0.41000000000000003,13,0,1,1,0,1,0.5495448452415853
0.0,0.42,13,0,1,1,0,1,0.56251849008882
0.0,0.43,8,0,1,0,0,0,0.5699794338324012
0.0,0.44,8,0,1,0,0,0,0.5599890598489292
0.0,0.45,8,0,1,0,0,0,0.54998927295454
